Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
2011-06-16,0.00,-0.75,1.40,1.03,0.28,-1.50,1.59,1.31,4.31,2.62
2012-02-16,0.00,1.12,-0.87,0.00,-1.75,0.25,1.25,-0.62,1.25,1.37
2012-03-23,0.00,-3.32,-1.81,-4.03,-3.63,-2.52,-4.43,-7.35,-7.05,-10.07
2012-05-07,0.00,-0.77,-1.16,-3.08,-5.65,-6.29,-8.73,-10.40,-9.88,-12.32
2012-09-13,0.00,-2.62,-3.35,-2.72,-3.77,-4.61,-4.71,-6.49,-7.64,-6.07
2012-12-20,0.00,-0.35,2.21,1.59,0.62,2.83,6.55,5.93,7.26,7.09
2013-02-11,0.00,-0.65,-0.98,-1.80,-0.49,-3.67,-6.78,-6.61,-9.96,-9.14
2013-03-01,0.00,1.23,4.47,7.45,5.78,6.49,5.26,5.70,6.13,10.17
2013-05-20,0.00,-0.97,-1.71,-1.49,-0.67,0.30,2.90,1.64,0.82,-0.60
2013-10-14,0.00,2.25,2.95,2.74,1.97,1.97,-0.21,-0.49,0.14,-0.07
2013-11-13,0.00,0.81,0.81,2.70,2.30,5.34,5.68,6.82,7.30,6.96
2014-12-29,0.00,-1.32,-1.27,-4.14,-7.00,-6.56,-4.63,-6.34,-8.00,-9.27
2015-02-20,0.00,1.11,1.79,-0.99,-2.41,-1.17,-0.99,-2.22,-1.23,0.12
2015-04-16,0.00,0.06,-0.39,1.16,0.84,0.51,0.00,0.58,2.70,2.38
2015-06-09,0.00,-0.57,-0.57,-0.68,-0.23,-1.25,-1.19,-2.39,-0.68,0.45
Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1986-09-18,0.00,-1.16,-2.02,-7.51,-6.36,-5.78,-4.34,-4.62,-5.20,-2.60
1986-10-08,0.00,0.00,-0.27,1.63,0.54,0.00,1.08,3.25,2.98,4.06
1986-10-14,0.00,-0.54,0.55,2.72,2.45,3.54,2.18,3.27,3.00,3.27
1986-11-25,0.00,-0.58,-1.73,-4.05,-4.62,-5.78,-4.05,-5.20,-4.05,-3.47
1987-01-16,0.00,0.52,0.00,-2.08,3.65,3.12,0.00,-1.04,1.04,0.00
1987-01-20,0.00,-2.08,3.65,3.12,0.00,-1.04,1.04,0.00,-1.56,-2.60
1987-01-23,0.00,-3.23,-4.30,-2.15,-3.23,-4.84,-5.91,-6.99,-6.45,-5.38
1987-01-29,0.00,-1.56,-2.60,-3.65,-3.12,-2.08,-2.08,-0.52,-4.17,-0.52
1987-03-05,0.00,1.49,-0.50,1.00,-1.99,-2.49,-1.99,-2.49,-4.48,-4.98
1987-03-09,0.00,1.49,-1.49,-1.98,-1.49,-1.98,-3.96,-4.46,-6.44,-5.94
1987-06-19,0.00,-0.97,-0.97,-1.93,-0.97,-0.97,0.00,1.45,1.93,3.86
1987-06-29,0.00,1.45,1.93,3.86,4.35,6.28,5.80,4.83,5.80,5.31
1987-09-03,0.00,3.83,4.78,4.78,4.31,3.35,2.39,4.31,6.22,6.70
1987-09-10,0.00,-1.00,-2.00,0.00,2.00,2.50,2.50,3.00,1.50,2.00
1987-09-16,0.00,0.51,0.51,1.02,-0.51,0.00,1.02,-0.51,-0.51,0.51
1987-10-13,0.00,1.12,2.81,20.79,20.79,18.54,21.35,19.66,23.03,20.79
1987-11-13,0.00,0.64,1.91,6.37,7.64,6.37,6.37,6.37,3.82,9.55
1987-11-17,0.00,4.55,5.84,4.55,4.55,4.55,1.95,7.79,8.44,9.74
