Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
2000-04-06,0.00,5.12,9.35,17.08,13.61,15.09,5.98,3.70,8.06,9.77
2000-07-18,0.00,-4.63,-1.66,7.59,4.98,4.98,1.30,8.30,3.56,6.41
2000-10-24,0.00,0.00,-0.34,-4.39,-5.74,-10.81,-20.61,-20.27,-15.88,-15.20
2000-11-27,0.00,2.60,8.49,5.37,7.45,5.72,20.62,20.62,16.46,15.77
2001-02-02,0.00,-4.64,-2.79,-2.79,5.26,2.48,5.26,3.41,0.62,5.88
2001-02-28,0.00,-2.67,-8.67,-14.67,-13.33,-11.00,-8.00,0.67,-4.33,-9.00
2001-03-26,0.00,3.06,1.49,3.50,5.60,11.50,14.74,8.75,9.97,10.19
2001-06-27,0.00,1.23,-1.53,-1.27,1.49,6.41,3.57,10.20,4.25,-3.48
2001-07-10,0.00,-8.07,-10.25,-6.30,-11.36,7.76,11.45,11.36,13.31,15.31
2001-08-03,0.00,-0.63,1.20,0.42,0.58,0.21,2.09,3.61,2.51,5.54
2001-10-23,0.00,-1.27,1.48,6.97,7.12,7.34,1.90,2.01,-0.63,-3.27
2002-01-07,0.00,4.25,6.10,6.90,6.46,4.02,8.09,0.57,1.95,3.49
2002-02-06,0.00,1.11,-2.80,-1.69,-2.92,-1.23,1.65,6.91,4.81,11.52
2002-04-26,0.00,-1.29,-0.08,1.13,1.88,5.47,6.22,-1.71,-0.96,2.67
2002-05-17,0.00,5.17,1.70,-1.78,2.38,3.07,3.07,2.18,5.82,7.40
2002-05-21,0.00,-3.54,0.70,1.40,1.40,0.49,4.19,5.80,6.33,6.58
2002-11-29,0.00,0.13,1.38,3.62,1.52,2.83,-0.66,-2.04,-0.07,2.57
2002-12-12,0.00,-0.41,-1.96,1.49,3.99,4.39,2.03,2.91,2.64,4.94
2003-02-07,0.00,0.00,-0.28,-1.32,-2.23,-6.41,-3.48,-2.93,-4.53,-2.72
