Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1992-08-28,0.00,1.09,5.43,3.80,2.72,3.80,6.52,7.07,3.53,7.61
1992-10-20,0.00,0.52,0.52,6.19,6.19,7.73,9.79,8.25,7.73,7.22
1992-10-28,0.00,-1.41,-1.88,-2.35,-1.41,3.29,4.69,3.76,5.63,6.57
1992-11-10,0.00,0.22,-0.88,1.10,-2.64,1.76,2.64,1.32,0.00,1.32
1992-11-16,0.00,4.52,5.43,4.07,2.71,4.07,2.26,2.26,4.07,5.43
1992-11-30,0.00,-1.72,-1.29,-2.36,-0.86,-0.21,-1.07,-1.72,-1.29,-1.72
1992-12-31,0.00,1.72,6.01,4.72,6.87,10.09,5.58,9.01,11.59,3.43
1993-01-08,0.00,-4.09,-0.97,1.36,-6.04,-7.21,-6.82,-6.43,-6.43,-7.21
1993-01-13,0.00,-7.31,-8.46,-8.08,-7.69,-7.69,-8.46,-7.69,-6.54,-7.31
1993-03-15,0.00,-2.43,-3.54,-4.87,-5.75,-6.64,-4.87,-3.10,-5.75,-9.73
1993-03-24,0.00,-2.74,-6.85,-4.57,-5.94,-5.48,-8.45,-8.68,-10.96,-7.76
1993-05-07,0.00,-0.91,-3.18,0.91,0.91,1.36,0.91,4.09,6.82,4.55
1993-05-19,0.00,-2.13,-1.91,-4.04,-1.70,-2.13,-3.62,-2.98,-2.98,-4.04
1993-05-26,0.00,-1.52,-0.87,-0.87,-1.96,-4.57,-11.74,-13.91,-23.04,-22.61
1993-06-24,0.00,0.31,-2.50,-1.25,-5.00,-3.75,-5.63,-8.75,-8.75,-8.13
1993-07-12,0.00,0.00,-4.03,-26.17,-31.21,-27.85,-29.53,-28.86,-29.53,-27.85
1993-08-09,0.00,-3.51,-7.02,-3.95,-3.51,-0.44,0.00,-3.51,-1.75,-0.44
1993-10-04,0.00,0.53,-2.13,-3.72,1.06,2.13,2.13,1.06,20.21,20.74
1993-10-21,0.00,-0.83,-1.65,4.96,2.48,1.65,4.13,8.26,4.55,6.61
1993-11-23,0.00,-1.14,-3.79,-4.55,-4.55,-3.79,-4.55,-2.27,-2.27,-3.41
1993-12-15,0.00,0.43,-2.98,-6.38,-4.68,-7.23,-2.98,-0.85,-2.98,1.28
1993-12-30,0.00,2.14,7.69,15.38,11.97,13.25,14.96,8.97,4.27,4.70
1994-01-27,0.00,-3.68,-2.21,-2.94,-1.47,-1.47,7.35,5.15,6.62,7.35
1994-02-03,0.00,8.96,6.72,8.21,8.96,10.45,10.45,10.82,9.70,10.45
1994-02-09,0.00,1.37,1.37,1.71,0.68,1.37,-0.68,2.05,2.05,0.34
1994-02-22,0.00,-1.68,-3.36,-2.01,-2.68,-4.36,-4.03,-1.34,1.68,-0.67
1994-03-11,0.00,-1.31,-3.61,-4.26,-4.59,-6.89,-8.20,-7.87,-9.18,-14.10
1994-03-31,0.00,0.75,0.75,0.38,0.75,0.75,-3.76,-4.51,-5.26,-9.02
1994-05-25,0.00,-1.84,-4.10,-7.38,-10.25,-9.43,-10.25,-9.84,-14.34,-11.48
1994-07-07,0.00,-0.23,4.85,9.70,5.77,4.39,4.85,2.31,-1.62,3.46
1994-07-12,0.00,-3.58,-4.84,-4.42,-6.74,-10.32,-5.68,4.42,6.74,5.68
1994-08-30,0.00,-3.28,-2.25,-1.73,-0.17,-0.17,-1.21,-1.21,-1.04,-2.94
1994-09-29,0.00,-1.67,0.19,12.43,7.61,9.83,15.40,17.63,25.05,22.08
1994-10-12,0.00,0.00,-3.34,0.30,0.30,-0.30,3.65,2.74,3.65,5.17
1994-10-31,0.00,-4.06,-3.77,-6.38,-5.51,-2.03,-3.48,-4.20,-4.64,-1.45
1995-01-17,0.00,0.55,-6.58,-7.40,-8.77,-10.17,-13.42,-12.60,-12.05,-11.51
1995-05-22,0.00,-0.85,-1.14,-2.71,-4.27,-5.27,-3.85,-3.99,-0.85,0.28
1995-06-19,0.00,4.22,3.69,2.90,1.58,-2.11,-1.58,-0.26,-1.98,-0.92
1995-11-10,0.00,1.53,0.31,-2.29,-1.83,-5.50,-5.50,-5.50,-1.68,-3.67
1996-03-27,0.00,1.55,5.43,3.36,1.55,-0.26,0.78,7.49,7.49,6.46
1996-07-24,0.00,4.76,5.95,1.79,4.76,1.19,2.98,0.00,2.38,6.55
